Time (s)	Motor Command (V)	Desired Position  (V)	Actual Position (V)
24.777	8.500	2.100	2.005
24.828	8.500	2.100	2.005
24.878	8.500	2.100	2.006
24.927	8.500	2.100	2.003
24.978	8.500	2.100	2.007
25.028	8.500	2.100	2.004
25.078	8.500	2.100	2.005
25.128	8.500	2.100	2.004
25.178	8.500	2.100	2.004
25.228	8.500	2.100	2.005
25.278	8.500	2.100	2.006
25.329	8.500	2.100	2.007
25.379	8.500	2.100	2.005
25.429	8.500	2.100	2.005
25.479	8.500	2.100	2.007
25.530	8.500	2.100	2.007
25.580	8.500	2.100	2.008
25.630	8.500	2.100	1.996
25.680	8.500	2.100	2.005
25.730	8.500	2.100	2.005
25.779	8.500	2.100	2.006
25.830	8.500	2.100	2.007
25.880	8.500	2.100	2.007
25.930	8.500	2.100	2.006
25.980	8.500	2.100	1.999
26.030	8.500	2.100	2.006
26.080	8.500	2.100	2.006
26.130	8.500	2.100	2.008
26.181	8.500	2.100	2.007
26.231	8.500	2.100	1.980
26.281	8.500	2.100	2.008
26.332	8.500	2.100	2.003
26.382	8.500	2.100	2.008
26.431	8.500	2.100	2.008
26.482	8.500	2.100	2.007
26.532	8.500	2.100	2.008
26.582	8.500	2.100	2.003
26.632	8.500	2.100	2.008
26.682	8.500	2.100	2.006
26.732	8.500	2.100	2.008
26.781	8.500	2.100	2.007
26.831	8.500	2.100	2.008
26.881	8.500	2.100	2.007
26.931	8.500	2.100	2.008
26.982	8.500	2.100	2.007
27.032	8.500	2.100	2.008
27.082	8.500	2.100	2.008
27.133	8.500	2.100	2.007
27.183	8.500	2.100	2.006
27.232	8.500	2.100	1.988
27.283	8.500	2.100	2.008
27.333	8.500	2.100	2.008
27.383	8.500	2.100	2.007
27.433	8.500	2.100	2.005
27.484	8.500	2.100	2.008
27.533	8.500	2.100	2.007
27.583	8.500	2.100	2.007
27.634	8.500	2.100	2.008
27.683	8.500	2.100	2.007
27.733	8.500	2.100	2.004
27.784	8.500	2.100	2.005
27.834	8.500	2.100	2.006
27.884	8.500	2.100	2.005
27.934	8.500	2.100	2.001
27.984	8.500	2.100	2.007
28.034	8.500	2.100	2.006
28.084	8.500	2.100	2.002
28.135	8.500	2.100	1.995
28.185	8.500	2.100	2.008
28.234	8.500	2.100	2.001
28.285	8.500	2.100	2.000
28.335	8.500	2.100	1.996
28.385	8.500	2.100	1.995
28.435	8.500	2.100	2.002
28.486	8.500	2.100	2.005
28.536	8.500	2.100	2.010
28.586	8.500	2.100	2.009
28.637	8.500	2.100	2.009
28.687	8.500	2.100	1.988
28.737	8.500	2.100	2.009
28.787	8.500	2.100	2.008
28.838	8.500	2.100	2.006
28.888	8.500	2.100	2.008
28.937	8.500	2.100	2.009
28.987	8.500	2.100	2.010
29.037	8.500	2.100	2.009
29.087	8.500	2.100	2.010
29.138	8.500	2.100	2.010
29.188	8.500	2.100	2.010
29.237	8.500	2.100	2.010
29.288	8.500	2.100	2.010
29.338	8.500	2.100	2.010
29.387	8.500	2.100	2.007
29.438	8.500	2.100	2.010
29.488	8.500	2.100	2.008
29.537	8.500	2.100	2.009
29.588	8.500	2.100	2.009
29.638	8.500	2.100	2.009
29.687	8.500	2.100	2.007
29.738	8.500	2.100	2.010
29.788	8.500	2.100	2.003
29.837	8.500	2.100	2.007
29.887	8.500	2.100	1.996
29.937	8.500	2.100	1.997
29.987	8.500	2.100	2.004
30.037	8.500	2.100	1.997
30.087	8.500	2.100	1.988
30.137	8.500	2.100	2.003
30.187	8.500	2.100	2.006
30.238	8.500	2.100	1.997
30.287	8.500	2.100	2.005
30.337	8.500	2.100	2.004
30.388	8.500	2.100	1.998
30.437	8.500	2.100	1.996
30.487	8.500	2.100	1.998
30.538	8.500	2.100	2.004
30.587	8.500	2.100	2.001
30.637	8.500	2.100	1.993
30.688	8.500	2.100	2.000
30.738	8.500	2.100	2.003
30.787	8.500	2.100	1.996
30.838	8.500	2.100	1.995
30.888	8.500	2.100	2.002
30.938	8.500	2.100	2.006
30.988	8.500	2.100	2.007
31.039	8.500	2.100	1.999
31.088	8.500	2.100	2.002
31.138	8.500	2.100	2.003
31.188	8.500	2.100	2.009
31.237	8.500	2.100	2.011
31.288	8.500	2.100	2.006
31.338	8.500	2.100	2.010
31.387	8.500	2.100	2.009
31.438	8.500	2.100	2.005
31.488	8.500	2.100	2.011
31.537	8.500	2.100	2.006
31.588	8.500	2.100	2.009
31.638	8.500	2.100	2.008
31.688	8.500	2.100	2.003
31.738	8.500	2.100	1.999
31.789	8.500	2.100	2.007
31.838	8.500	2.100	2.008
31.888	8.500	2.100	2.008
31.938	8.500	2.100	2.009
31.987	8.500	2.100	2.007
32.037	8.500	2.100	2.004
32.088	8.500	2.100	2.010
32.138	8.500	2.100	2.007
32.187	8.500	2.100	2.010
32.237	8.500	2.100	2.013
32.287	8.500	2.100	2.008
32.337	8.500	2.100	2.009
32.388	8.500	2.100	2.010
32.438	8.500	2.100	2.009
32.488	8.500	2.100	2.011
32.538	8.500	2.100	2.006
32.589	8.500	2.100	2.007
32.639	8.500	2.100	2.001
32.689	8.500	2.100	1.997
32.740	8.500	2.100	1.994
32.790	8.500	2.100	2.000
32.840	8.500	2.100	2.007
32.890	8.500	2.100	2.009
32.941	8.500	2.100	2.011
